country,country_code,product,product_code,quantity
Germany,DE,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,78742192991
Belgium,BE,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,24712539381
Germany,DE,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",8708.0,20153724840
Spain,ES,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,16420774433
Netherlands,NL,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous miner",2710.0,15773706885
Netherlands,NL,"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, incl. apparatus for communication in a wired or wireless network [such as a local or wide area network]; parts thereof (excl. than trans",8517.0,15536946454
Sweden,SE,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous miner",2710.0,14893560566
Netherlands,NL,Petroleum gas and other gaseous hydrocarbons,2711.0,11444915769
Germany,DE,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",3004.0,11071911318
Netherlands,NL,"Automatic data-processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, n.e.s.",8471.0,10618924427
France,FR,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,9985055248
Belgium,BE,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",3004.0,9981908941
Irish Republic,IE,Heterocyclic compounds with nitrogen hetero-atom[s] only,2933.0,9490411606
Irish Republic,IE,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",3004.0,8589340912
France,FR,"Wine of fresh grapes, incl. fortified wines; grape must, partly fermented and of an actual alcoholic strength of > 0,5% vol or grape must with added alcohol of an actual alcoholic strength of > 0,5% vol",2204.0,7890455303
France,FR,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",8708.0,7518851453
Germany,DE,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excl. yeasts) and similar products",3002.0,7328865203
Netherlands,NL,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",3004.0,6534389640
Belgium,BE,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous miner",2710.0,6468777902
Netherlands,NL,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442 (excl. hectograph or stencil duplicating machines, addressing machines and other office printing machines of heading 8469 to 8472); other printers, copying machines and facsimile machines, whe",8443.0,6275664568
Germany,DE,"Automatic data-processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, n.e.s.",8471.0,6032175223
France,FR,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",3004.0,5963787512
Germany,DE,"Motor vehicles for the transport of goods, incl. chassis with engine and cab",8704.0,5691626952
Netherlands,NL,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excl. yeasts) and similar products",3002.0,5513643660
Hungary,HU,"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, incl. apparatus for communication in a wired or wireless network [such as a local or wide area network]; parts thereof (excl. than trans",8517.0,4941658261
France,FR,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous miner",2710.0,4736610186
Germany,DE,Parts suitable for use solely or principally with internal combustion piston engine of heading 8407 or 8408,8409.0,4706487807
Italy,IT,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",3004.0,4531236226
Germany,DE,,,4500061590
France,FR,,,4405591023
Germany,DE,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442 (excl. hectograph or stencil duplicating machines, addressing machines and other office printing machines of heading 8469 to 8472); other printers, copying machines and facsimile machines, whe",8443.0,4385361238
Czech Republic,CZ,"Automatic data-processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, n.e.s.",8471.0,4333668686
Czech Republic,CZ,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,4292398730
Italy,IT,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,4250051027
Slovakia,SK,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",8528.0,4202985614
Belgium,BE,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",8708.0,4178210231
Italy,IT,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",8708.0,4019317605
Irish Republic,IE,"Automatic data-processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, n.e.s.",8471.0,3963214081
Irish Republic,IE,"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, incl. apparatus for communication in a wired or wireless network [such as a local or wide area network]; parts thereof (excl. than trans",8517.0,3962855527
Spain,ES,"Motor vehicles for the transport of goods, incl. chassis with engine and cab",8704.0,3955282487
Netherlands,NL,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",603.0,3829900983
Denmark,DK,"Petroleum oils and oils obtained from bituminous minerals, crude",2709.0,3827155589
Spain,ES,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",3004.0,3702403832
Irish Republic,IE,"Meat of bovine animals, fresh or chilled",201.0,3693317729
France,FR,"Articles of jewellery and parts thereof, of precious metal or of metal clad with precious metal (excl. articles > 100 years old)",7113.0,3634233468
Germany,DE,"Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",7108.0,3578669372
Spain,ES,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",8708.0,3532317481
Netherlands,NL,"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls, fresh, chilled or frozen",207.0,3449802540
Italy,IT,"Wine of fresh grapes, incl. fortified wines; grape must, partly fermented and of an actual alcoholic strength of > 0,5% vol or grape must with added alcohol of an actual alcoholic strength of > 0,5% vol",2204.0,3405675236
France,FR,"Turbojets, turbopropellers and other gas turbines",8411.0,3330230445
France,FR,Electrical energy,2716.0,3281973575
Sweden,SE,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness of > 6 mm",4407.0,3227097826
Netherlands,NL,"Motor vehicles for the transport of goods, incl. chassis with engine and cab",8704.0,3215501796
Germany,DE,"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, incl. apparatus for communication in a wired or wireless network [such as a local or wide area network]; parts thereof (excl. than trans",8517.0,3158306809
Poland,PL,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,3155254149
Slovakia,SK,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,3147248111
Belgium,BE,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excl. yeasts) and similar products",3002.0,3107839839
Germany,DE,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous miner",2710.0,3089997629
Germany,DE,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, incl. scintigraphic apparatus, other electro-medical apparatus and sight-testing instruments, n.e.s.",9018.0,3057039568
